set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,ub',lb',gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set7,NGCUTFS,NGCUTFS2-136,250,750,100,100,30015,31560,246,750,100,100,30015,31560,30000,30000,30000,30000,0,1,0,0.008,0,0,0,0.008
Set7,NGCUTFS,NGCUTFS2-137,250,750,100,100,34899,31815,249,750,100,100,34899,31815,30000,30000,30000,30000,0,1,0,0.008,0,0,0,0.008
Set7,NGCUTFS,NGCUTFS2-138,250,750,100,100,35271,33285,80,215,100,100,9714,7647,30000,30000,30000,30000,0,1,0,0.009,0,0,0,0.009
Set7,NGCUTFS,NGCUTFS2-139,250,750,100,100,30687,30906,82,230,100,100,7253,7828,30000,30000,30000,30000,0,1,0,0.016,0.001,0,0.013,0.03
Set7,NGCUTFS,NGCUTFS2-140,250,750,100,100,33963,34734,82,211,100,100,8204,8473,30000,30000,30000,30000,0,1,0,0.014,0.002,0,0.018,0.034
Set7,NGCUTFS,NGCUTFS2-141,250,1000,100,100,42016,42916,249,1000,100,100,42016,42916,30000,30000,30000,30000,0,1,0,0.01,0,0,0,0.01
Set7,NGCUTFS,NGCUTFS2-142,250,1000,100,100,41480,42996,247,1000,100,100,41480,42996,30000,30000,30000,30000,0,1,0,0.009,0,0,0,0.009
Set7,NGCUTFS,NGCUTFS2-143,250,1000,100,100,43788,42128,249,1000,100,100,43788,42128,30000,30000,30000,30000,0,1,0,0.009,0,0,0,0.009
Set7,NGCUTFS,NGCUTFS2-144,250,1000,100,100,44908,41300,85,300,100,100,11255,10399,30000,30000,30000,30000,0,1,0,0.013,0,0,0,0.013
Set7,NGCUTFS,NGCUTFS2-145,250,1000,100,100,41760,42172,89,302,100,100,9907,10559,30000,30000,30000,30000,0,1,0,0.024,0.002,0,0.009,0.035
Set7,NGCUTFS,NGCUTFS2-146,250,1000,100,100,46528,44788,88,308,100,100,10436,11141,30000,30000,30000,30000,0,1,0,0.019,0.002,0,0.124,0.145
