set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set7,NGCUTFS,NGCUTFS2-205,1000,4000,100,100,164144,167752,963,4000,100,100,164144,167752,30000,30000,0.0,1,0,0.063,0.0,0.0,0.0,0.063
Set7,NGCUTFS,NGCUTFS2-206,1000,4000,100,100,174756,172896,970,4000,100,100,174756,172896,30000,30000,0.0,1,0,0.066,0.0,0.0,0.0,0.066
Set7,NGCUTFS,NGCUTFS2-207,1000,4000,100,100,167148,173640,979,4000,100,100,167148,173640,30000,30000,0.0,1,0,0.068,0.0,0.0,0.0,0.068
Set7,NGCUTFS,NGCUTFS2-208,1000,4000,100,100,161648,167320,957,4000,100,100,161648,167320,30000,30000,0.0,1,0,0.066,0.0,0.0,0.0,0.066
Set7,NGCUTFS,NGCUTFS2-209,1000,4000,100,100,171560,178560,968,4000,100,100,171560,178560,30000,30000,0.0,1,0,0.064,0.0,0.0,0.0,0.064
Set7,NGCUTFS,NGCUTFS2-210,1000,4000,100,100,173376,166536,977,4000,100,100,173376,166536,30000,30000,0.0,1,0,0.063,0.0,0.0,0.0,0.063
Set7,NGCUTFS,NGCUTFS3-100,150,150,100,100,5758,5172,77,78,100,100,2277,2190,29791,29696,0.003188882548420664,0,0,0.009,0.003,0.009,36.673,36.694
Set7,NGCUTFS,NGCUTFS3-101,150,450,100,100,15513,17082,62,178,100,100,5075,5838,30000,30000,0.0,1,0,0.016,0.003,0.01,0.0,0.029
Set7,NGCUTFS,NGCUTFS3-102,150,450,100,100,16854,15525,149,450,100,100,16854,15525,30000,30000,0.0,1,0,0.006,0.0,0.0,0.0,0.006
Set7,NGCUTFS,NGCUTFS3-103,150,450,100,100,17907,18501,46,124,100,100,4445,5090,29994,29994,0.0,1,0,0.007,0.003,0.007,0.277,0.294
Set7,NGCUTFS,NGCUTFS3-104,150,450,100,100,17319,15651,60,172,100,100,6159,4880,30000,30000,0.0,1,0,0.016,0.003,0.01,0.0,0.029
Set7,NGCUTFS,NGCUTFS3-105,150,450,100,100,16029,15759,42,122,100,100,3476,4133,30000,30000,0.0,1,0,0.015,0.003,0.01,0.0,0.028
Set7,NGCUTFS,NGCUTFS3-106,150,450,100,100,17043,16728,52,138,100,100,4800,4628,30000,30000,0.0,1,0,0.008,0.002,0.012,0.0,0.022
Set7,NGCUTFS,NGCUTFS3-107,150,450,100,100,16113,18063,62,162,100,100,5216,5543,30000,30000,0.0,1,0,0.008,0.003,0.011,0.633,0.655
Set7,NGCUTFS,NGCUTFS3-108,150,450,100,100,17277,16545,149,450,100,100,17277,16545,30000,30000,0.0,1,0,0.006,0.0,0.0,0.0,0.006
Set7,NGCUTFS,NGCUTFS3-109,150,450,100,100,18210,17529,69,190,100,100,5833,5799,29988,29988,0.0,1,0,0.011,0.002,0.012,7.283,7.308
Set7,NGCUTFS,NGCUTFS3-110,150,450,100,100,16002,17238,149,450,100,100,16002,17238,30000,30000,0.0,1,0,0.011,0.0,0.0,0.0,0.011
Set7,NGCUTFS,NGCUTFS3-111,150,600,100,100,21656,25684,43,159,100,100,5240,5537,30000,30000,0.0,1,0,0.034,0.004,0.014,0.0,0.052
