set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,ub',lb',gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set4,MP,Class1_2_40_100_25_75,40,84,100,100,3866,3585,41,84,100,100,3886,3592,9875,9875,9875,9875,0,1,0,0.005,0,0.001,0,0.006
Set4,MP,Class1_2_50_100_10_50,50,357,100,100,8407,8030,49,357,100,100,8407,8030,10000,10000,10000,10000,0,1,0,0.004,0.001,0,0.386,0.391
Set4,MP,Class1_2_50_100_25_75,50,107,100,100,4769,4922,50,107,100,100,4769,4922,10000,10000,10000,10000,0,1,0,0.001,0,0,0,0.001
Set4,MP,Class1_3_10_100_10_50,10,67,100,100,1955,1400,10,67,100,100,1955,1400,9900,9900,9900,9900,0,1,0,0.001,0,0.001,0,0.002
Set4,MP,Class1_3_10_100_25_75,10,27,100,100,1111,992,10,27,100,100,1144,1051,9182,9182,9182,9182,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_3_20_100_10_50,20,157,100,100,3524,3878,20,157,100,100,3524,3878,9961,9961,9961,9961,0,1,0,0.001,0.001,0.003,0,0.005
Set4,MP,Class1_3_20_100_25_75,20,39,100,100,1695,1936,20,39,100,100,1781,2018,9800,9800,9800,9800,0,1,0,0.002,0,0,0,0.002
Set4,MP,Class1_3_30_100_10_50,30,261,100,100,6227,5649,30,261,100,100,6227,5649,10000,10000,10000,10000,0,1,0,0.002,0.001,0,0.088,0.091
Set4,MP,Class1_3_30_100_25_75,30,68,100,100,3235,3148,30,68,100,100,3287,3165,9873,9873,9873,9873,0,1,0,0.003,0,0,0,0.003
Set4,MP,Class1_3_40_100_10_50,40,341,100,100,8405,6801,40,341,100,100,8405,6801,10000,10000,10000,10000,0,1,0,0.003,0.002,0,0.286,0.291
Set4,MP,Class1_3_40_100_25_75,40,75,100,100,3542,3279,40,75,100,100,3573,3285,9794,9794,9794,9794,0,1,0,0.003,0.001,0,0,0.004
Set4,MP,Class1_3_50_100_10_50,50,341,100,100,8192,9587,49,341,100,100,8192,9587,10000,10000,10000,10000,0,1,0,0.004,0.002,0,0.377,0.383
Set4,MP,Class1_3_50_100_25_75,50,104,100,100,4566,4306,50,104,100,100,4585,4322,9912,9912,9912,9912,0,1,0,0.006,0,0.001,0,0.007
Set4,MP,Class1_4_10_100_10_50,10,79,100,100,1831,2255,10,79,100,100,1831,2255,9954,9954,9954,9954,0,1,0,0.001,0,0.001,0,0.002
Set4,MP,Class1_4_10_100_25_75,10,22,100,100,1180,887,11,22,100,100,1222,917,9553,9553,9553,9553,0,1,0,0.001,0,0,0,0.001
Set4,MP,Class1_4_20_100_10_50,20,147,100,100,3758,3725,20,147,100,100,3758,3725,10000,10000,10000,10000,0,1,0,0.001,0.002,0.002,0.012,0.017
Set4,MP,Class1_4_20_100_25_75,20,55,100,100,2362,2155,20,55,100,100,2380,2171,9862,9862,9862,9862,0,1,0,0.002,0,0,0.001,0.003
Set4,MP,Class1_4_30_100_10_50,30,226,100,100,5121,5531,29,226,100,100,5121,5531,10000,10000,10000,10000,0,1,0,0.003,0.001,0,0.011,0.015
Set4,MP,Class1_4_30_100_25_75,30,56,100,100,2646,2542,31,56,100,100,2691,2557,9937,9937,9937,9937,0,1,0,0.002,0.001,0,0,0.003
Set4,MP,Class1_4_40_100_10_50,40,391,100,100,8235,8829,40,391,100,100,8235,8829,10000,10000,10000,10000,0,1,0,0.003,0.002,0,0.154,0.159
Set4,MP,Class1_4_40_100_25_75,40,82,100,100,3741,3542,40,82,100,100,3883,3560,9856,9856,9856,9856,0,1,0,0.003,0.001,0,0,0.004
Set4,MP,Class1_4_50_100_10_50,50,433,100,100,10716,10721,49,431,100,100,10656,10675,10000,10000,10000,10000,0,1,0,0.005,0.001,0,0.346,0.352
Set4,MP,Class1_4_50_100_25_75,50,97,100,100,4331,4507,49,97,100,100,4346,4536,9926,9926,9926,9926,0,1,0,0.006,0,0.001,0,0.007
Set4,MP,Class1_5_10_100_10_50,10,90,100,100,1803,1827,8,87,100,100,1731,1752,9990,9990,9990,9990,0,1,0,0.001,0.001,0.001,0,0.003
Set4,MP,Class1_5_10_100_25_75,10,15,100,100,824,693,11,15,96,100,1094,756,9394,9394,9394,9394,0,1,0,0,0,0,0,0
Set4,MP,Class1_5_20_100_10_50,20,97,100,100,2500,2387,20,97,100,100,2500,2387,9959,9959,9959,9959,0,1,0,0,0.002,0.002,0.002,0.006
Set4,MP,Class1_5_20_100_25_75,20,33,100,100,1458,1643,20,33,100,100,1482,1682,9325,9325,9325,9325,0,1,0,0.002,0,0,0,0.002
